,Purchases,Sales
-21,0.0020307404910810956,-0.0038877215397860043
-20,0.013572008851617356,-0.006907435612571344
-19,0.008480404041597112,-0.002273020696437311
-18,0.004629741434913015,-0.0051794596885640365
-17,0.0040242155284888614,-0.007541955957917512
-16,0.0007480320005657237,-0.010845134295597858
-15,-0.0023390189786339777,-0.009921960018999254
-14,-0.003742880463569298,-0.007767935556330263
-13,-0.0006472923009001041,-0.006172883232027804
-12,-0.0010565668198604383,-0.004884299139854886
-11,-0.0007791464074521359,-0.006328215323728292
-10,0.002074057515901284,-0.004074163721199842
-9,0.0015675539298534158,-0.0005098675408085063
-8,0.0011694324145867796,-0.0031029435596851007
-7,0.006056617822355337,-0.0006677015624414473
-6,0.0025681106869741566,0.0062408093139429965
-5,0.0034000756542560406,0.018959498781446538
-4,0.005217819133556123,0.02731755453437268
-3,0.011007123787208473,0.028146704429763858
-2,0.018185885205132646,0.026213981718874457
-1,0.01834163332566585,0.028101062637881702
0,0.01691324866680799,0.03163917862618071
1,0.015566368723931134,0.03134816339307589
2,0.019332403061681935,0.03317862695753826
3,0.014897700758822907,0.029775769648844985
4,0.013616548274497875,0.035019041622448066
5,0.009523793841670347,0.03219326085801422
6,0.014162253986803153,0.03199669518728521
7,0.010895246430710825,0.033213683952147965
8,0.010025773133351512,0.036867143155022486
9,0.009367689962956671,0.034063042581399694
10,0.014830148136407262,0.03430687768409468
11,0.01239675072340729,0.03352553088617838
12,0.01465665732406407,0.03811861355307711
13,0.013296130160117992,0.043534596487742716
14,0.018066821723557114,0.04229084298549801
15,0.02322970927656609,0.04562797437639321
16,0.02052925362257718,0.04479266263035786
17,0.02262126032221179,0.043988809757049996
18,0.024682386164784242,0.04226046009560869
19,0.01934574833726166,0.04060749485261117
20,0.017335775756599503,0.04287156652629931
21,0.021155842868980423,0.041591814416529704
22,0.02259277084234812,0.04298334230461398
