House Returns,,,,,,
,,,,,,
,prev 1m,prev 5d,prev 1d,1d,5d,1m
count,5447,5479,5482,5462,5432,5182
mean,-0.79%,0.30%,0.05%,-0.12%,-0.41%,-1.25%
std,30.48%,9.48%,4.09%,3.91%,8.92%,20.59%
min,-1509.81%,-121.46%,-123.94%,-37.05%,-129.66%,-570.48%
25%,-6.61%,-2.67%,-1.23%,-1.29%,-3.31%,-6.78%
50%,-0.02%,0.26%,0.06%,-0.02%,-0.10%,-0.30%
75%,6.47%,3.42%,1.36%,1.20%,2.86%,5.93%
max,1037.67%,75.54%,39.59%,73.93%,86.69%,570.48%
,,,,,,
,,,,,,
House Purchases,,,,,,
,,,,,,
Column1,prev 1m,prev 5d,prev 1d,1d,5d,1m
count,2820,2831,2833,2827,2809,2673
mean,0.41%,0.50%,0.05%,0.02%,0.46%,0.30%
std,24.32%,8.66%,3.62%,3.76%,8.19%,18.19%
min,-78.54%,-78.79%,-27.10%,-37.05%,-70.20%,-80.17%
25%,-6.44%,-2.65%,-1.29%,-1.29%,-3.07%,-6.68%
50%,-0.54%,0.22%,0.03%,0.02%,-0.02%,-0.37%
75%,6.13%,3.48%,1.34%,1.20%,3.14%,5.82%
max,1037.67%,63.97%,39.59%,56.17%,86.69%,570.48%
,,,,,,
,,,,,,
House Sales,,,,,,
,,,,,,
Column1,prev 1m,prev 5d,prev 1d,1d,5d,1m
count,2627,2648,2649,2635,2623,2509
mean,-2.09%,0.08%,0.04%,-0.27%,-1.34%,-2.92%
std,35.89%,10.27%,4.53%,4.05%,9.55%,22.75%
min,-1509.81%,-121.46%,-123.94%,-27.22%,-129.66%,-570.48%
25%,-7.01%,-2.67%,-1.19%,-1.30%,-3.56%,-6.83%
50%,0.55%,0.30%,0.08%,-0.07%,-0.21%,-0.22%
75%,6.84%,3.37%,1.38%,1.20%,2.69%,6.06%
max,76.94%,75.54%,30.67%,73.93%,75.54%,75.03%
,,,,,,
,,,,,,
Senate Returns,,,,,,
,,,,,,
,prev 1m,prev 5d,prev 1d,1d,5d,1m
count,1179,1179,1180,1172,1165,1143
mean,0.10%,-0.05%,0.27%,-0.12%,-0.01%,0.34%
std,17.05%,9.81%,4.20%,4.17%,9.15%,16.72%
min,-78.53%,-76.97%,-27.51%,-77.27%,-78.79%,-140.94%
25%,-8.21%,-3.10%,-1.24%,-1.46%,-3.25%,-6.46%
50%,0.10%,0.23%,0.26%,-0.03%,-0.01%,0.31%
75%,7.74%,3.40%,1.71%,1.45%,3.39%,7.53%
max,80.80%,78.93%,41.43%,28.03%,74.98%,113.46%
,,,,,,
,,,,,,
Senate Purchases,,,,,,
,,,,,,
Column1,prev 1m,prev 5d,prev 1d,1d,5d,1m
count,556,556,556,554,551,537
mean,-0.33%,-0.74%,0.07%,-0.25%,-0.33%,-0.88%
std,18.35%,11.14%,4.95%,4.91%,10.16%,16.68%
min,-78.53%,-76.97%,-27.51%,-77.27%,-78.79%,-86.32%
25%,-8.63%,-3.31%,-1.56%,-1.51%,-3.94%,-7.05%
50%,-0.21%,-0.03%,-0.03%,-0.11%,-0.48%,-0.54%
75%,8.17%,3.25%,1.39%,1.33%,2.82%,6.30%
max,80.80%,75.62%,41.43%,28.03%,52.36%,113.46%
,,,,,,
,,,,,,
Senate Sales,,,,,,
,,,,,,
Column1,prev 1m,prev 5d,prev 1d,1d,5d,1m
count,623,623,624,618,614,606
mean,0.50%,0.56%,0.45%,-0.01%,0.28%,1.43%
std,15.81%,8.40%,3.39%,3.38%,8.14%,16.69%
min,-59.73%,-34.68%,-13.25%,-23.93%,-39.21%,-140.94%
25%,-6.64%,-2.92%,-1.11%,-1.35%,-2.74%,-6.20%
50%,0.51%,0.62%,0.45%,0.05%,0.28%,0.88%
75%,7.72%,3.49%,1.90%,1.74%,3.65%,8.59%
max,74.62%,78.93%,22.11%,16.79%,74.98%,76.24%
